ID,Time,Altitude
5,9900,"0.305"
5,9904,"0.914"
5,9905,"0.305"
5,9906,"0.61"
5,9907,"0.61"
5,9908,"1.219"
5,9909,"0.305"
5,9910,"0.914"
5,9910,"0.914"
5,9914,"-3.048"
5,9916,"50.292"
5,9917,"173.736"
5,9919,"553.822"
5,9920,"841.858"
5,9921,"1099.109"
5,9923,"1464.259"
5,9924,"1785.214"
5,9925,"1785.214"
5,9926,"1977.238"
5,9927,"2150.059"
5,9928,"2223.821"
5,9928,"2318.309"
5,9930,"2516.124"
5,9931,"2632.863"
5,9933,"2731.008"
5,9933,"2776.118"
5,9934,"2820.619"
5,9935,"2890.723"
5,9937,"2995.574"
5,9942,"3081.223"
5,9943,"3192.475"
5,9944,"3067.202"
5,9945,"3109.875"
5,9947,"3052.267"
5,9948,"2977.591"
5,9957,"2829.458"
5,9958,"2810.561"
5,9960,"2797.759"
5,9962,"2820.314"
5,9965,"2725.522"
5,9968,"2688.641"
5,9970,"2747.467"
5,9971,"2698.699"
5,9971,"2698.699"
5,9974,"2607.564"
5,9974,"2607.564"
5,9976,"2638.044"
5,9976,"2588.057"
5,9977,"2572.207"
5,9979,"2556.053"
5,9982,"2520.391"
5,9983,"2502.713"
5,9985,"2524.963"
5,9985,"2468.271"
5,9987,"2459.126"
5,9987,"2494.788"
5,9988,"2494.788"
5,9988,"2431.085"
5,9990,"2412.187"
5,9990,"2434.438"
5,9991,"2469.794"
5,9992,"2432.914"
5,9995,"2392.68"
5,9997,"2322.881"
5,10003,"2247.291"
5,10005,"2223.211"
5,10005,"2286.61"
5,10007,"2194.865"
5,10008,"2178.71"
5,10009,"2219.554"
5,10010,"2221.078"
5,10012,"2199.437"
5,10013,"2183.892"
5,10015,"2142.744"
5,10016,"2169.262"
5,10017,"2097.938"
5,10017,"2129.638"
5,10019,"2044.294"
5,10020,"2029.054"
5,10021,"2062.277"
5,10027,"1963.522"
5,10027,"1948.891"
5,10028,"1929.689"
5,10030,"1920.85"
5,10031,"1926.031"
5,10032,"1887.322"
5,10034,"1857.146"
5,10036,"1840.078"
5,10036,"1837.334"
5,10037,"1862.328"
5,10039,"1885.798"
5,10040,"1785.518"
5,10041,"1776.984"
5,10042,"1766.011"
5,10045,"1747.114"
5,10047,"1716.634"
5,10052,"1702.003"
5,10053,"1662.379"
5,10053,"1646.53"
5,10054,"1630.375"
5,10055,"1619.098"
5,10056,"1668.17"
5,10058,"1579.169"
5,10065,"1505.712"
5,10065,"1493.215"
5,10066,"1486.51"
5,10067,"1476.146"
5,10067,"1482.547"
5,10068,"1482.547"
5,10068,"1458.773"
5,10070,"1484.986"
5,10071,"1445.666"
5,10072,"1466.088"
5,10076,"1442.314"
5,10077,"1430.731"
5,10078,"1430.731"
5,10078,"1362.761"
5,10079,"1347.521"
5,10081,"1339.901"
5,10082,"1322.527"
5,10083,"1316.126"
5,10084,"1303.02"
5,10085,"1295.095"
5,10087,"1297.838"
5,10088,"1300.886"
5,10090,"1252.118"
5,10091,"1251.509"
5,10094,"1253.642"
5,10109,"1097.585"
5,10110,"1084.478"
5,10111,"1081.735"
5,10112,"1094.232"
5,10113,"1064.057"
5,10114,"1059.79"
5,10115,"1043.635"
5,10117,"1025.652"
5,10118,"1069.543"
5,10120,"1004.316"
5,10121,"998.83"
5,10122,"998.83"
5,10122,"1007.364"
5,10125,"1024.433"
5,10130,"925.982"
5,10131,"910.133"
5,10131,"900.989"
5,10132,"900.989"
5,10134,"880.872"
5,10135,"910.133"
5,10135,"910.133"
5,10137,"858.317"
5,10138,"834.847"
5,10140,"823.265"
5,10141,"849.782"
5,10142,"801.624"
5,10143,"806.806"
5,10144,"785.774"
5,10144,"778.764"
5,10153,"719.633"
5,10153,"738.53"
5,10154,"722.376"
5,10155,"674.827"
5,10156,"662.635"
5,10157,"651.662"
5,10160,"684.886"
5,10166,"613.562"
5,10168,"533.705"
5,10169,"545.592"
5,10170,"545.592"
5,10170,"493.166"
5,10171,"493.166"
5,10171,"476.707"
5,10172,"476.707"
5,10173,"470.002"
5,10174,"462.382"
5,10175,"460.858"
5,10176,"460.858"
5,10176,"423.367"
5,10177,"423.367"
5,10177,"424.891"
5,10179,"471.526"
5,10179,"398.983"
5,10180,"389.534"
5,10180,"397.459"
5,10181,"397.459"
5,10183,"351.739"
5,10183,"391.668"
5,10184,"391.668"
5,10185,"337.718"
5,10186,"329.794"
5,10188,"359.054"
5,10189,"309.982"
5,10190,"320.04"
5,10190,"277.063"
5,10191,"267.614"
5,10192,"293.522"
5,10193,"247.802"
5,10194,"257.556"
5,10196,"231.953"
5,10196,"259.69"
5,10197,"252.984"
5,10199,"221.59"
5,10200,"179.222"
5,10203,"214.274"
5,10206,"120.091"
5,10208,"102.108"
