5,0,0,0,0,9900,0.305,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9900,52.91,859.822,9.093,4233.933,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9901,52.91,859.797,9.093,4235.181,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9902,52.91,859.79,9.104,4235.575,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9902,52.91,859.83,9.093,4233.225,,,,,,,,,,,,,,
8,0,0,0,0,9902,19:0:41,32.9428329468,-106.9150619507,1394.4000244141,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9903,52.91,859.797,9.104,4235.181,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9904,52.91,859.797,9.104,4235.181,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9904,0.914,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9905,52.91,859.75,9.093,4237.931,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9905,0.305,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9906,0.61,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9907,52.92,859.844,9.104,4232.419,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9907,0.61,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
8,0,0,0,0,9908,19:0:41,32.9428329468,-106.9150619507,1394.4000244141,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9908,1.219,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9909,0.305,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9910,0.914,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9910,0.914,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9911,52.92,859.8,9.114,4234.98,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9911,52.92,859.804,9.104,4234.777,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9912,52.91,859.768,9.104,4236.88,,,,,,,,,,,,,,
8,0,0,0,0,9912,19:0:41,32.9428329468,-106.9150619507,1394.4000244141,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9913,52.92,859.792,9.104,4235.424,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9913,52.92,859.792,9.104,4235.424,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9914,52.92,859.8,9.104,4234.98,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9914,-3.048,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9915,52.91,858.667,9.093,4301.105,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9916,50.292,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
2,0,0,0,0,9916,52.86,849.391,9.026,4826.296,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
5,0,0,0,0,9917,173.736,,,,,,,,,,,,,,,,,
8,0,0,0,0,9917,19:0:41,32.9428329468,-106.9150619507,1394.4000244141,,,,,,,,,,,,,,
8,0,0,0,0,0,PAYLOAD IS !ARMED!,,,,,,,,,,,,,,,,,
